trx_type,tx_desc,menu
CLR,BANK MANDIRI TASPEN POS,Transfer Antar Bank
CLR,BANK MAYAPADA,Transfer Antar Bank
CLR,BANK MEGA,Transfer Antar Bank
CLR,BANK MESTIKA DHARMA,Transfer Antar Bank
CLR,BANK MIZUHO INDONESIA,Transfer Antar Bank
CLR,BANK MUAMALAT INDONESIA,Transfer Antar Bank
CLR,BANK MULTI ARTA SENTOSA,Transfer Antar Bank
CLR,BANK NUSANTARA PARAHIANGAN,Transfer Antar Bank
CLR,BANK OCBC NISP,Transfer Antar Bank
CLR,BANK OCBC NISP UNIT SYARIAH,Transfer Antar Bank
CLR,BANK OF AMERICANA,Transfer Antar Bank
CLR,BANK OF INDIA INDONESIA,Transfer Antar Bank
CLR,BANK PERMATA,Transfer Antar Bank
CLR,BANK PERMATA UNIT SYARIAH,Transfer Antar Bank
CLR,BANK QNB,Transfer Antar Bank
CLR,BANK RABOBANK INTERNATIONAL INDONESIA,Transfer Antar Bank
CLR,BANK RAKYAT INDONESIA,Transfer Antar Bank
CLR,BANK RAKYAT INDONESIA SYARIAH,Transfer Antar Bank
CLR,BANK SAHABAT SAMPOERNA,Transfer Antar Bank
CLR,BANK SBI INDONESIA,Transfer Antar Bank
CLR,BANK SINARMAS,Transfer Antar Bank
CLR,BANK SINARMAS UNIT SYARIAH,Transfer Antar Bank
CLR,BANK SUMITOMO MITSUI INDONESIA,Transfer Antar Bank
CLR,BANK SYARIAH INDONESIA,Transfer Antar Bank
CLR,BANK SYARIAH MANDIRI,Transfer Antar Bank
CLR,BANK TABUNGAN NEGARA,Transfer Antar Bank
CLR,BANK TABUNGAN NEGARA UNIT SYARIAH,Transfer Antar Bank
CLR,BANK UOB INDONESIA,Transfer Antar Bank
CLR,BANK VICTORIA INTERNATIONAL,Transfer Antar Bank
CLR,BPD ACEH,Transfer Antar Bank
CLR,BPD BALI,Transfer Antar Bank
CLR,BPD DIY,Transfer Antar Bank
CLR,BPD DIY UNIT SYARIAH,Transfer Antar Bank
CLR,BPD JAMBI,Transfer Antar Bank
CLR,BPD JATENG,Transfer Antar Bank
CLR,BPD JATENG UNIT SYARIAH,Transfer Antar Bank
CLR,BPD JATIM,Transfer Antar Bank
CLR,BPD JATIM UNIT SYARIAH,Transfer Antar Bank
CLR,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA,Transfer Antar Bank
CLR,BPD KALSEL,Transfer Antar Bank
CLR,BPD KALSEL UNIT SYARIAH,Transfer Antar Bank
CLR,BPD KALTENG,Transfer Antar Bank
CLR,BPD LAMPUNG,Transfer Antar Bank
CLR,BPD PAPUA,Transfer Antar Bank
CLR,BPD SUMBAR,Transfer Antar Bank
CLR,BPD SUMSEL BABEL,Transfer Antar Bank
CLR,BPD SUMUT,Transfer Antar Bank
CLR,BPD SUMUT UNIT SYARIAH,Transfer Antar Bank
CLR,BSI,Transfer Antar Bank
CLR,BSI ex BINS,Transfer Antar Bank
CLR,BSI ex BRIS,Transfer Antar Bank
CLR,BSI ex BSM,Transfer Antar Bank
CLR,Bank Woori Saudara,Transfer Antar Bank
CLR,Bank of China (Hongkong) Limited,Transfer Antar Bank
CLR,CITIBANK,Transfer Antar Bank
CLR,CTBC BANK,Transfer Antar Bank
CLR,DBS/Eks-ANZ,Transfer Antar Bank
CLR,DEUTSCHE BANK AG.,Transfer Antar Bank
CLR,HSBC -HONGKONG AND SHANGHAI BANK,Transfer Antar Bank
CLR,KEB HANA BANK,Transfer Antar Bank
CLR,MAYBANK INDONESIA TBK,Transfer Antar Bank
CLR,MNC BANK,Transfer Antar Bank
CLR,NATIONAL NOBU BANK,Transfer Antar Bank
CLR,PANIN BANK,Transfer Antar Bank
CLR,PANIN BANK DUBAI SYARIAH,Transfer Antar Bank
CLR,PRIMA MASTER BANK,Transfer Antar Bank
CLR,PT. Bank Aceh Syariah,Transfer Antar Bank
CLR,STANDARD CHARTERED BANK,Transfer Antar Bank
CLR,THE BANK OF TOKYO MITSUBISHI UFJ LTD.,Transfer Antar Bank
POS,?,Others
POS,3 POST PAID,Utilities Telco
POS,3 PREPAID,Utilities Telco
POS,ADIRA FINANCE,Loan Pinjaman
POS,ANZ CRD CARD,Loan CC Bank Lain
POS,ANZ IND P/L,Others
POS,BAMUIS INFAQ,Charity
POS,BAMUIS ZAKAT,Charity
POS,BAZNAS INFAQ,Charity
POS,BAZNAS KURBAN,Charity
POS,BAZNAS ZAKAT,Charity
POS,BEASSW PPSDMS INFAQ,Charity
POS,BEASSW PPSDMS ZAKAT,Charity
POS,BNI CC ATM PAYMENT,Loan CC BNI
POS,BRI CC CARD,Loan CC BNI
POS,BUSAN AUTO,Asuransi
POS,CC AMEX,Loan CC Bank Lain
POS,CC BANK MEGA,Loan CC Bank Lain
POS,CC BUKOPIN,Loan CC Bank Lain
POS,CITIBANK CC,Loan CC Bank Lain
POS,CITIBANK READY CASH,Loan CC Bank Lain
POS,CITILINK TOPUP AGENT,Ticketing
POS,DANAMON CR CARD,Loan CC Bank Lain
POS,DOMPET DHUAFA INFAQ,Charity
POS,DOMPET DHUAFA KURB,Charity
POS,DOMPET DHUAFA ZAKAT,Charity
POS,DPU DT INFAQ,Charity
POS,DPU DT KURBAN,Charity
POS,DPU DT ZAKAT,Charity
POS,EPBB KEDIRI,Others
POS,ETILANG,Payment Pajak
POS,FIF,Asuransi
POS,FINANSIA/KREDITPLUS,Loan Pinjaman
POS,FIRST MEDIA,Utilities Internet
POS,FREN,Utilities Telco
POS,FREN POST PAID,Utilities Telco
POS,GA-CITILINK,Ticketing
POS,GARUDA INDONESIA,Ticketing
POS,HALO TLKMSEL,Utilities Telco
POS,HSBC CR CARD,Loan CC Bank Lain
POS,HSBC PERSONAL LOAN,Loan Pinjaman
POS,INDOSAT MATRIX,Utilities Telco
POS,INDOSAT PASCA BAYAR,Utilities Telco
POS,INDOSAT PRABAYAR,Utilities Telco
POS,INDOSAT VOUCHER DATA,Utilities Telco
POS,INDOVISION,Utilities TV
