trx_type,tx_desc,menu
ACTIVE_DEBIT_CARD_ABROARD,?,Others
ADD_CREDIT_CARD,?,Others
BLOKIR_SALDO_BERJANGKA,?,Others
BNI_DEBIT_ONLINE_INIT,?,Others
CEK_STATUS_DIGITAL_LOAN,?,Others
CHECK_TRANSACTION_PASSWORD_BDO,?,Others
CREATE_BILLING_TRANSFER_AUTODEBET,?,Others
CREATE_BOOK_REDEEMABLE_SBNRITEL,?,Others
CREATE_DIGITAL_INVOICE,?,Digital_invoice
CREATE_DPLK_ACCOUNT,?,Others
CREATE_UPDATE_SMS_NOTIFICATION,?,Others
DANA_TUNAI_MYCARD,?,Mycard
DEBIT_CARD_DETAILS,?,Others
DELETE_BILLING_AUTODEBET,?,Others
DELETE_BNIDEBITONLINE,?,Others
DELETE_REKENING_DANA_SBNRITEL,?,Others
DELETE_REKENING_SURAT_BERHARGA_SBNRITEL,?,Others
GETDEBITCARDNUMBER,?,Others
GET_BILLER_MY_CARD,?,Mycard
GET_CARD_BY_ACCOUNT,?,Others
GET_FLEKSI_LOAN_OFFER_EFORM,?,Others
GET_INQUIRY_BNI_DEBIT_ONLINE,?,Others
GET_PARAMETER_MOBTUN_KEMITRAAN,?,Others
GET_TENOR_MYCARD,?,Mycard
HOLD_DEBIT_CARD,?,Others
INCREASE_LIMIT_MYCARD,?,Mycard
INQUIRY_AIR,AETRA,Inquiry
INQUIRY_AIR,PALYJA,Inquiry
INQUIRY_AIR,PDAM_BALIKPAPAN,Inquiry
INQUIRY_AIR,PDAM_BANDUNG,Inquiry
INQUIRY_AIR,PDAM_BANJARMASIN,Inquiry
INQUIRY_AIR,PDAM_BOGOR,Inquiry
INQUIRY_AIR,PDAM_BSD,Inquiry
INQUIRY_AIR,PDAM_DJI,Inquiry
INQUIRY_AIR,PDAM_FORTUNA,Inquiry
INQUIRY_AIR,PDAM_KABBOGOR,Inquiry
INQUIRY_AIR,PDAM_MANADO,Inquiry
INQUIRY_AIR,PDAM_MITRACOMM,Inquiry
INQUIRY_AIR,PDAM_MITRACOMM2,Inquiry
INQUIRY_AIR,PDAM_SEMARANG,Inquiry
INQUIRY_AIR,PDAM_SMT,Inquiry
INQUIRY_AIR,PDAM_SURABAYA,Inquiry
INQUIRY_ASURANSI_BPJS,BPJS_KESEHATAN_VA,Inquiry
INQUIRY_ASURANSI_BPJS,BPJS_KETENAGAKERJAAN,Inquiry
INQUIRY_ASURANSI_BPJS,BPJS_TKBPU,Inquiry
INQUIRY_BNI_DEBIT_ONLINE,?,Inquiry
INQUIRY_BNI_LIFE,BNILIFE_BIAYA_CETAK_ULANG_POLIS,Inquiry
INQUIRY_BNI_LIFE,BNILIFE_CETAK_ULANG_POLIS,Inquiry
INQUIRY_BNI_LIFE,BNILIFE_PINJAMAN_POLIS,Inquiry
INQUIRY_BNI_LIFE,BNILIFE_PREMI_LANJUTAN,Inquiry
INQUIRY_BNI_LIFE,BNILIFE_TOPUP_PREMI,Inquiry
INQUIRY_BOOK_ALL_SERIES_SBNRITEL,?,Inquiry
INQUIRY_BOOK_REDEEMABLE_SBNRITEL,?,Inquiry
INQUIRY_CENTRAL_ASIA_RAYA,CAR_OTHER,Inquiry
INQUIRY_CENTRAL_ASIA_RAYA,CAR_REGULER,Inquiry
INQUIRY_CUSTOMER_PROFIL_SBNRITEL,?,Inquiry
INQUIRY_DIGITALLOAN_FLEKSI,?,Inquiry
INQUIRY_INTERNET_SPEEDY,SPEEDY,Inquiry
INQUIRY_INVESTOR_SBNRITEL,?,Inquiry
INQUIRY_ISI_PULSA,AS,Inquiry
INQUIRY_ISI_PULSA,AXIS,Inquiry
INQUIRY_ISI_PULSA,FLEXI,Inquiry
INQUIRY_ISI_PULSA,FREN,Inquiry
INQUIRY_ISI_PULSA,IM3,Inquiry
INQUIRY_ISI_PULSA,INDOSAT,Inquiry
INQUIRY_ISI_PULSA,MENTARI,Inquiry
INQUIRY_ISI_PULSA,THREE,Inquiry
INQUIRY_ISI_PULSA,XL_EXTRA,Inquiry
INQUIRY_ISI_PULSA,XL_REG,Inquiry
INQUIRY_KARTU_KREDIT_ANTAR_BANK,AMEX,Inquiry
INQUIRY_KARTU_KREDIT_ANTAR_BANK,ANZ,Inquiry
INQUIRY_KARTU_KREDIT_ANTAR_BANK,BRI,Inquiry
INQUIRY_KARTU_KREDIT_ANTAR_BANK,BUKOPIN,Inquiry
