TRX_TYPE	TX_DESC	CHANNEL	BILLER_TARGET	JENIS_TRX	mapping_sendiri		
INQ	INQUIRY BNICARD	ATM	INQUIRY BNICARD	INQUIRY		Transfer	Transfer BNI
INQ	INQUIRY LINK	ATM	INQUIRY LINK	INQUIRY			Transfer Antar Bank
INQ	INQUIRY BERSAMA	ATM	INQUIRY BERSAMA	INQUIRY		Pembayaran	Pembayaran CC BNI
INQ	INQUIRY PRIMA	ATM	INQUIRY PRIMA	INQUIRY			Pembayaran CC Bank Lain
INQ	INQUIRY BNI-CC	ATM	INQUIRY BNI-CC	INQUIRY			Pembayaran Telepon
TRF	BERSAMA-TRF-ACQ	ATM	BERSAMA-TRF-ACQ	TRANSFER			Pembayaran Pendidikan
TRF	LINK-TRF-ACQ	ATM	LINK-TRF-ACQ	TRANSFER			Pembayaran Transportasi
TRF	PRIMA-TRF-ACQ	ATM	PRIMA-TRF-ACQ	TRANSFER			Pembayaran Asuransi
TRF	INTERN-TRF-ISS-DES-ACQ	ATM	INTERN-TRF-ISS-DES-ACQ	TRANSFER			Pembayaran Utilities
TRF-BILL_P	PLN PREPAID:10000000	ATM	PLN PREPAID:10000000	PURCHASE			Pembayaran Charity
TRF-BILL_P	SPC UNAIR	ATM	SPC UNAIR	PAYMENT			Pembayaran Pemerintah
TRF-BILL_P	PBB SIMALUNGUN	ATM	?	?			Pembayaran Pinjaman
TRF-BILL_P	SETIA BUDI	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP4 BAUBAU	ATM	?	?		Pembelian	Pembelian Pulsa
TRF-BILL_P	PP4 MERAUKE	ATM	PELINDO	PAYMENT			Pembelian Token PLN
TRF-BILL_P	ISSUER PYT MPUT	ATM	ISSUER PYT MPUT	PAYMENT			Pembelian Voucher TV
TRF-BILL_P	CAR TAGIHAN	ATM	CAR INSURANCE TAGIHAN	PAYMENT			
TRF-BILL_P	UIN MM IBRAHIM	ATM	STUDENT PAYMENT CENTER	PAYMENT		Kliring	Kliring BNI
TRF-BILL_P	BNI CC ATM PAYMENT	ATM	BNI	PAYMENT			Kliring Antar Bank
TRF-BILL_P	PP4 PANTLOAN	ATM	PELINDO	PAYMENT			
TRF-BILL_P	TLKM MATARAM	ATM	TELKOM	PAYMENT		Inquiry	Inquiry
TRF-BILL_P	PLN BANTEN	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PP3 LEMBAR	ATM	PELINDO	PAYMENT		Others	Others
TRF-BILL_P	ADIRA FINANCE	ATM	ADIRA FINANCE	PAYMENT			
TRF-BILL_P	FINANSIA/KREDITPLUS	ATM	FINANSIA KREDIT PLUS	PAYMENT			
TRF-BILL_P	HSBC CR CARD	ATM	HSBC	PAYMENT			
TRF-BILL_P	SPC POLMAN BDG	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PBBKULONPROGO	ATM	PBB KULON PROGO	PAYMENT			
TRF-BILL_P	PELINDO 3	ATM	PELINDO 3	PAYMENT			
TRF-BILL_P	SPC UI	ATM	 SPC UI	 PAYMENT			
TRF-BILL_P	PJKKABKOTWRNGINBRT	ATM	?	?			
TRF-BILL_P	TLKM MADIUN	ATM	TELKOM	PAYMENT			
TRF-BILL_P	CC UOB	ATM	UOB	PAYMENT			
TRF-BILL_P	H2H UNMUL	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	ANGS MIKRO	ATM	UNMAP	PAYMENT			
TRF-BILL_P	PBBGUNUNGKIDUL	ATM	PBB GUNUNGKIDUL	PAYMENT			
TRF-BILL_P	ASTRA SF	ATM	ASTRA CREDIT COMPANY	PAYMENT			
TRF-BILL_P	PENDING EPRS	ATM	PENDING EPRS	PURCHASE			
TRF-BILL_P	FREN:500000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	PGN	ATM	PGN	PAYMENT			
TRF-BILL_P	SULT AGENG TIRTAYASA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	JICT	ATM		OTHERS			
TRF-BILL_P	SPC H2H UM	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	HALO TLKMSEL	ATM	TELKOMSEL	PAYMENT			
TRF-BILL_P	PP4 TARAKAN	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PLN NON TAGLIS	ATM	 PLN NON TAGLIS	 PAYMENT			
TRF-BILL_P	STTKDYOGYA	ATM	STTKDYOGYA	PAYMENT			
TRF-BILL_P	TLKM TARAKAN	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB SIGI	ATM	?	?			
TRF-BILL_P	SPC UNEJ H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	BRI CC ATM PAYMENT	ATM	BRI	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:250000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	SPC H2H ITB	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	JIWASRAYA	ATM	JIWASRAYA	PAYMENT			
TRF-BILL_P	VCR TLKOMSEL:300000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	TPK KOJA	ATM		OTHERS			
TRF-BILL_P	H2H UGM USY	ATM	H2H UGM USY	PAYMENT			
TRF-BILL_P	PP1 PELINDO	ATM	PP1 PELINDO	PAYMENT			
TRF-BILL_P	TRANS VISION	ATM	TRANSVISION	PAYMENT			
TRF-BILL_P	PLN KEP RIAU	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	SPC UNISULA PMB	ATM	SPC UNISULA PMB	PAYMENT			
TRF-BILL_P	PELINDO 2	ATM	PELINDO 2	PAYMENT			
TRF-BILL_P	H2H UIR	ATM	H2H UIR	PAYMENT			
TRF-BILL_P	TLKM ACEH	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB KWARINGIN BARAT	ATM	PBB KWARINGIN BARAT	PAYMENT			
