cif,frekuensi rtg,frekuensi pos,frekuensi wib,frekuensi clr,frekuensi swt,saldo
10157653867,NULL,1,NULL,NULL,NULL,355477.000
10157653946,NULL,2,NULL,NULL,NULL,8872743.000
10157654485,NULL,1,NULL,NULL,NULL,15301167.000
10157654824,NULL,1,NULL,NULL,NULL,0.000
10157655246,NULL,1,NULL,NULL,NULL,2801738.000
10157655852,NULL,1,NULL,NULL,NULL,871956.000
10157656020,NULL,1,NULL,NULL,NULL,218150.000
10157656056,NULL,1,NULL,NULL,NULL,11411334.000
10157656514,NULL,2,NULL,NULL,NULL,38713.000
10157658431,NULL,3,NULL,NULL,NULL,180987.000
10157658649,NULL,1,NULL,NULL,NULL,1292205.000
10157658784,NULL,1,NULL,NULL,NULL,17369475.000
10157659653,NULL,1,NULL,NULL,NULL,1995349.000
10157660310,NULL,1,NULL,NULL,NULL,53167.000
10157660680,NULL,1,NULL,NULL,NULL,21043.000
10157661212,NULL,1,NULL,NULL,NULL,1878834.000
10157661830,NULL,1,NULL,NULL,NULL,11829.000
10157664305,NULL,2,NULL,NULL,NULL,121824.000
10157664448,NULL,1,NULL,NULL,NULL,1381891.000
10157665082,NULL,2,NULL,NULL,NULL,40647.000
10157666246,NULL,1,NULL,NULL,NULL,3461032.000
10157666409,NULL,1,NULL,NULL,NULL,41252194.000
10157666955,NULL,1,NULL,NULL,NULL,4122783.000
10157669007,NULL,1,NULL,NULL,NULL,879.000
10157669065,NULL,6,NULL,NULL,NULL,13085762.000
10157669131,NULL,1,NULL,NULL,NULL,290202.000
10157669388,NULL,4,NULL,NULL,NULL,3935565.000
10157669637,NULL,1,NULL,NULL,NULL,12700.000
10157669650,NULL,1,NULL,NULL,NULL,9270.000
10157670044,NULL,6,NULL,NULL,NULL,86165.000
10157670414,NULL,1,NULL,NULL,NULL,2269224.000
10157670835,NULL,NULL,5,NULL,NULL,22489521.000
10157670937,NULL,8,NULL,NULL,NULL,53663659.000
10157671736,NULL,1,NULL,NULL,NULL,13418.000
10157674876,NULL,1,NULL,NULL,NULL,446500.000
10157674966,NULL,3,NULL,NULL,NULL,348560.000
10157675079,NULL,2,NULL,NULL,NULL,649491.000
10157675090,NULL,1,NULL,NULL,NULL,114262.000
10157675686,NULL,2,NULL,NULL,NULL,1070230.000
10157675730,NULL,1,NULL,NULL,NULL,2045126.000
10157676207,NULL,2,NULL,NULL,NULL,337407.000
10157676850,NULL,1,NULL,NULL,NULL,9935655.000
10157676883,NULL,4,NULL,NULL,NULL,5894310.000
10157677432,NULL,1,NULL,NULL,NULL,3347566.000
10157677841,NULL,1,NULL,NULL,NULL,254664.000
10157677854,NULL,1,NULL,NULL,NULL,16029.000
10157678284,NULL,2,NULL,NULL,NULL,5767399.000
10157678436,NULL,1,NULL,NULL,NULL,3093650.000
10157678482,NULL,1,NULL,NULL,NULL,4590292.000
10157678891,NULL,2,NULL,NULL,NULL,507131.000
10157679963,NULL,1,NULL,NULL,NULL,1423.000
10157680684,NULL,1,NULL,NULL,NULL,43717.000
10157680831,NULL,1,NULL,NULL,NULL,626235.000
10157681586,NULL,1,NULL,NULL,NULL,50320441.000
10157681870,NULL,2,NULL,NULL,NULL,680762.000
10157682062,NULL,1,NULL,NULL,NULL,1241.000
10157682333,NULL,1,NULL,NULL,NULL,3881412.000
10157682374,NULL,2,NULL,NULL,NULL,18659742.000
10157689597,NULL,1,NULL,NULL,NULL,224739.000
10157690386,NULL,3,6,2,NULL,7071102.000
10157691469,NULL,2,NULL,NULL,NULL,3604307.000
10157692928,NULL,3,NULL,NULL,NULL,9656.000
10157693752,NULL,1,NULL,NULL,NULL,974929.000
10157693819,NULL,2,NULL,NULL,NULL,1317825.000
