cif,frekuensi sal_dplk,frekuensi pos,frekuensi trf,frekuensi antarbank,saldo
9756105081,NULL,1,NULL,NULL,4988719.000
9567370584,NULL,2,NULL,NULL,700665340.000
9316168392,NULL,1,NULL,NULL,3264896.000
9327385022,NULL,1,1,2,2957396.000
9268152342,NULL,NULL,4,2,24355120.000
9707899680,NULL,3,5,5,4542457.000
9216184453,NULL,1,NULL,NULL,41176.000
9736727888,NULL,NULL,2,NULL,229552.000
10237202967,NULL,1,NULL,NULL,81472.000
9251933808,NULL,NULL,1,NULL,274238.000
9252045935,NULL,1,1,NULL,109147.000
9174995302,NULL,NULL,2,NULL,5604744.000
9722278251,NULL,1,NULL,NULL,48638.000
9685324072,NULL,1,NULL,NULL,19505891.000
9392046657,NULL,NULL,NULL,3,470733.000
10172643631,NULL,NULL,13,NULL,409860.000
9388019248,NULL,1,NULL,NULL,292597290.000
10237289554,NULL,1,NULL,NULL,107500.000
9665422163,NULL,1,NULL,NULL,25225.000
9021419612,NULL,5,NULL,NULL,96805855.000
9799231075,NULL,1,NULL,NULL,864249.000
9253308083,NULL,NULL,9,4,1309622.000
9335973984,NULL,NULL,NULL,7,19837256.000
9863676991,NULL,1,NULL,NULL,3856904.000
9195484447,NULL,NULL,2,NULL,824092.000
9073380222,NULL,3,4,1,11647262.000
9341966561,NULL,1,NULL,NULL,761138.000
9825138379,NULL,2,1,3,19595537.000
9661115753,NULL,2,NULL,NULL,2232801.000
9250888410,NULL,1,NULL,NULL,1314864.000
9149939313,NULL,1,NULL,NULL,6899034.000
9156767691,NULL,NULL,2,3,179396.000
9276542332,NULL,7,8,1,3107686.000
9265507257,NULL,1,2,4,6556730.000
9020035269,NULL,NULL,8,6,64539376.000
9847789046,NULL,1,NULL,NULL,19989.000
9680724028,NULL,2,NULL,NULL,2146.000
9749848952,NULL,1,NULL,NULL,250448.000
9140068904,NULL,2,NULL,1,18090885.000
9085409047,NULL,NULL,5,21,2701575.000
9203018796,NULL,1,NULL,NULL,3070155.000
9422520616,NULL,NULL,7,10,4290.000
9309861965,NULL,1,NULL,NULL,6138376.000
9769690169,NULL,NULL,NULL,1,63198.000
9799448110,NULL,1,NULL,1,152086.000
9676838339,NULL,NULL,32,6,0.000
9310587198,NULL,NULL,4,1,35422626.000
9846724460,NULL,5,10,NULL,104799.000
9049349380,NULL,NULL,1,NULL,904894633.250
9784188401,NULL,5,3,NULL,9716916.000
9087395581,NULL,4,2,2,2155942.000
9077522693,NULL,24,2,9,40444807.000
9022246751,NULL,NULL,3,NULL,24333770.000
9279188658,NULL,1,NULL,NULL,242971.000
9296636395,NULL,4,17,1,22351492.000
9761637339,NULL,5,NULL,NULL,8697012.000
9229865058,NULL,5,22,12,4737808.000
9853545079,NULL,1,NULL,NULL,16314.000
9059728946,NULL,NULL,1,1,4779406.000
10089548459,NULL,2,NULL,NULL,50058.000
9129561715,NULL,1,NULL,NULL,6706976.000
9042189523,NULL,NULL,1,4,913.000
9411199765,NULL,1,NULL,NULL,519023.000
9225894287,NULL,1,NULL,NULL,21694515.000
9205679505,NULL,1,NULL,NULL,6517618.000
9764515226,NULL,23,1,1,503864.000
9244364964,NULL,6,NULL,1,59295198.000
9369956359,NULL,1,NULL,NULL,29883871.000
9189811250,NULL,NULL,35,24,66188664.000
9489458616,NULL,1,NULL,NULL,5023003.000
9221479286,NULL,NULL,2,NULL,16706.000
9096545776,NULL,NULL,5,2,22962.000
9489633094,NULL,1,NULL,NULL,39742.000
9072245690,NULL,2,NULL,NULL,98144.000
9339700603,NULL,NULL,1,1,12773242.000
9165339677,NULL,9,3,5,6174081.000
9218166441,NULL,1,NULL,NULL,90361.000
9219320834,NULL,1,NULL,NULL,3008492.000
9286378943,NULL,NULL,11,8,6337.000
10044148679,NULL,NULL,4,NULL,10218050.000
9997796930,NULL,1,NULL,NULL,4395404.000
10172533959,NULL,1,NULL,NULL,5566862.000
9237047398,NULL,2,NULL,NULL,51031848.000
9048172491,NULL,NULL,8,9,66307847.000
9145385546,NULL,NULL,1,1,2364.000
9170371082,NULL,3,NULL,NULL,304456.000
9178613394,NULL,8,NULL,1,8602377.000
9848860501,NULL,1,NULL,NULL,3613740.000
9613650821,NULL,1,NULL,NULL,133722786.000
9076338235,NULL,1,NULL,NULL,3175588.000
9334866545,NULL,3,NULL,NULL,17506624.000
9107002564,NULL,2,NULL,NULL,25750666.000
9314134967,NULL,2,NULL,NULL,2591352.000
9229156737,NULL,NULL,1,NULL,19676017.000
9449249553,NULL,3,NULL,NULL,10970532.000
9128273345,NULL,NULL,3,3,524957.000
9502890791,NULL,1,NULL,NULL,1046716353.000
9567715496,NULL,12,3,6,150940.000
10111699475,NULL,1,NULL,NULL,17920240.000
9764601347,NULL,4,40,NULL,14841017.000
9039675850,NULL,2,9,NULL,26170799.000
9324831441,NULL,NULL,NULL,3,587088.000
9144626870,NULL,1,NULL,NULL,38848179.000
10104917549,NULL,NULL,1,NULL,25011.000
9172094487,NULL,2,4,NULL,1004549.000
